abject	비열한, 비굴한
abreast	나란히, 병행하여
abrupt	뜻밖의, 갑작스런
absent-minded	얼빠진, 부주의한
absolute	완벽한
abstract 	추상적인, 난해한
absurd	불합리한, 어리석은
accidental	 우연한
accurate	정확한
accustomed	익숙한
acid	신, 신랄한
actual	현실의
acute	심한 ,예리한
adequate	충분한
admirable	칭찬할만한, 훌륭한
affluent	풍족한, 부유한
aggressive	침략적인, 적극적인
agile	민첩한, 재빠른
ailing	병든
alert	경계하는
alien	 외국의
alternative	양자택일의
ambiguous	모호한, 확실하지 않은
amiable	붙임성 있는, 귀여운
ample	넓은, 충분한
ancient	옛날의, 고전의
angry	성난, 노한
anonymous	  익명의
apathetic	무감각한, 냉담한
apparent	명백한, 분명한
apt	~하기 쉬운, 적당한
aptly	적절히
archaic	고풍의
ardent	불타는, 열정적인
arrogant	거만한, 오만한
attentive	주의 깊은
auxiliary	보조의, 부가의
available	이용할 만한
avid	욕심이 많은, 탐욕스런
aware	의식이 있는, 알아차리는
awkward	어색한, 꼴사나운
apple	사과
barbarian	야만인, 미개인
bare	발가벗은, 속이 빈
barren	불모의, 새끼를 낳지 못하는
base	기초, 근거, 천한
becoming	어울리는, 적당한
beneficial	유익한, 이로운
benevolent	 인자한
bitter	쓴, 쓰라린, 지독한
blind	눈이 먼
bloody	잔인한, 피가 나는
bold	대담한
bondage	노예의
bore	지친, 피곤한
brave	용감한
brief	잠시의, 짧은
bright	빛나는, 영리한
brisk	활기있는
broad	폭이 넓은
brutal	야수적인, 잔인한
burden	무거운짐
candid	솔직한
capacious	널찍한, 큼지막한
careful	주의 깊은
careless	부주의한, 무관심한
casual	우연의, 무관심한, 무심결의
celebrated	유명한, 저명한
celestial	천상의
charitable	자비로운
cheerful	쾌활한
chill	냉기, 냉담한
chronic	만성의, 장기간에 걸친
civil	일반 시민의, 예의바른
clean	청결한, 깨끗한
clear	분명한, 뚜렷한, 맑은
clever	영리한, 현명한
clumsy	서투른, 어색한
coarse	조잡한, 거친
compact	빽빽하게 찬, 치밀한
comparable	유사한
competent	유능한
complex	복잡한, 어려운
composed	마음이 가라앉은
comprehensive	포괄적인, 넓은
compulsory	강제적인, 의무적인
confident	확신하는, 자신만만한
conscientious	양심적인, 성실한
conscious	의식하고 있는
considerate	이해심있는
consistent	일관된, 언행이 일치된
conspicuous	확실히 보이는, 뚜렷한
constant	불변의, 끊임없는
contagious	전염성있는
contemporary	~와 같은 시대의, 현대의
contemptible	경멸할만한
